Invoice,Date,Month,Country,TransactionType,PrimaryIssue,IssueMask,ReviewStatus,SourceRows,FlaggedRows,RuleHits,MissingCustomerRows,MissingDescriptionRows,DuplicateRows,ZeroPriceRows,NegativePriceRows,AdjustmentRows,PositiveValue,FlaggedPositiveValue,DuplicatePositiveValue,UnidentifiedPositiveValue,SignedValue,FirstSourceRow
536382,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,430.6,0.0,0.0,0.0,430.6,144
536384,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,13,0,0,0,0,0,0,0,0,489.6,0.0,0.0,0.0,489.6,157
536385,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,7,0,0,0,0,0,0,0,0,130.85,0.0,0.0,0.0,130.85,170
536386,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,3,0,0,0,0,0,0,0,0,508.2,0.0,0.0,0.0,508.2,177
536387,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,3193.92,0.0,0.0,0.0,3193.92,180
536388,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,226.14,0.0,0.0,0.0,226.14,185
536389,2010-12-01,2010-12,Australia,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,358.25,0.0,0.0,0.0,358.25,199
536390,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,24,0,0,0,0,0,0,0,0,1825.74,0.0,0.0,0.0,1825.74,213
536392,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,10,0,0,0,0,0,0,0,0,318.14,0.0,0.0,0.0,318.14,244
536393,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,79.6,0.0,0.0,0.0,79.6,254
536394,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,11,0,0,0,0,0,0,0,0,1024.68,0.0,0.0,0.0,1024.68,255
536395,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,507.88,0.0,0.0,0.0,507.88,266
536396,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,18,0,0,0,0,0,0,0,0,376.36,0.0,0.0,0.0,376.36,280
536397,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,279.0,0.0,0.0,0.0,279.0,298
536398,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,17,0,0,0,0,0,0,0,0,426.56,0.0,0.0,0.0,426.56,300
536399,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,317
536400,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,17.4,0.0,0.0,0.0,17.4,319
536401,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,64,0,0,0,0,0,0,0,0,354.23,0.0,0.0,0.0,354.23,320
536402,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,3,0,0,0,0,0,0,0,0,357.0,0.0,0.0,0.0,357.0,384
536403,2010-12-01,2010-12,Netherlands,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,192.6,0.0,0.0,0.0,192.6,387
536404,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,28,0,0,0,0,0,0,0,0,471.3,0.0,0.0,0.0,471.3,389
536405,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,326.4,0.0,0.0,0.0,326.4,417
536406,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,17,0,0,0,0,0,0,0,0,353.14,0.0,0.0,0.0,353.14,418
536407,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,435
536408,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,48,0,0,0,0,0,0,0,0,783.11,0.0,0.0,0.0,783.11,437
536409,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,4,4,4,0,0,4,0,0,0,11.25,11.25,11.25,0.0,11.25,519
536409,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,54,0,0,0,0,0,0,0,0,232.03,0.0,0.0,0.0,232.03,485
536412,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,13,13,13,0,0,13,0,0,0,60.95,60.95,60.95,0.0,60.95,557
536412,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,68,0,0,0,0,0,0,0,0,453.46,0.0,0.0,0.0,453.46,543
536414,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,624
536415,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,59,0,0,0,0,0,0,0,0,390.79,0.0,0.0,0.0,390.79,625
536416,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,225.7,0.0,0.0,0.0,225.7,684
536420,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,233.45,0.0,0.0,0.0,233.45,690
536423,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,9,0,0,0,0,0,0,0,0,303.9,0.0,0.0,0.0,303.9,704
536425,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,17,0,0,0,0,0,0,0,0,362.45,0.0,0.0,0.0,362.45,713
536437,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,842.12,0.0,0.0,0.0,842.12,730
536446,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,9.9,9.9,9.9,0.0,9.9,760
536446,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,31,0,0,0,0,0,0,0,0,430.99,0.0,0.0,0.0,430.99,736
536460,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,295.54,0.0,0.0,0.0,295.54,768
536463,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,17.4,0.0,0.0,0.0,17.4,782
536464,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,4,4,4,0,0,4,0,0,0,12.25,12.25,12.25,0.0,12.25,833
536464,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,81,0,0,0,0,0,0,0,0,265.1,0.0,0.0,0.0,265.1,783
536466,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,42.9,0.0,0.0,0.0,42.9,868
536477,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,2474.74,0.0,0.0,0.0,2474.74,870
536488,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,2.55,2.55,2.55,0.0,2.55,893
536488,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,34,0,0,0,0,0,0,0,0,163.34,0.0,0.0,0.0,163.34,884
536500,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,15,0,0,0,0,0,0,0,0,223.9,0.0,0.0,0.0,223.9,919
536502,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,95.29,0.0,0.0,0.0,95.29,934
536508,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,155.52,0.0,0.0,0.0,155.52,939
536514,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,295.5,0.0,0.0,0.0,295.5,942
536520,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,71,0,0,0,0,0,0,0,0,313.49,0.0,0.0,0.0,313.49,947
536521,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,4.95,0.0,0.0,0.0,4.95,1018
536522,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,2,2,2,0,0,2,0,0,0,2.5,2.5,2.5,0.0,2.5,1063
536522,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,52,0,0,0,0,0,0,0,0,188.56,0.0,0.0,0.0,188.56,1019
536523,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,203.3,0.0,0.0,0.0,203.3,1073
536524,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,4,0,0,0,0,0,0,0,0,70.8,0.0,0.0,0.0,70.8,1085
536525,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,13,0,0,0,0,0,0,0,0,136.24,0.0,0.0,0.0,136.24,1089
536526,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,9,0,0,0,0,0,0,0,0,301.24,0.0,0.0,0.0,301.24,1102
536527,2010-12-01,2010-12,Germany,Positive sale line,No rule triggered,0,No rule triggered,15,0,0,0,0,0,0,0,0,261.48,0.0,0.0,0.0,261.48,1111
536528,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,9,9,9,0,0,9,0,0,0,39.0,39.0,39.0,0.0,39.0,1142
536528,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,48,0,0,0,0,0,0,0,0,274.93,0.0,0.0,0.0,274.93,1126
536529,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,9,0,0,0,0,0,0,0,0,161.0,0.0,0.0,0.0,161.0,1183
536530,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,1.25,1.25,1.25,0.0,1.25,1207
536530,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,22,0,0,0,0,0,0,0,0,200.5,0.0,0.0,0.0,200.5,1192
536531,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,10.5,10.5,10.5,0.0,10.5,1224
536531,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,22,0,0,0,0,0,0,0,0,939.59,0.0,0.0,0.0,939.59,1215
536532,2010-12-01,2010-12,Norway,Positive sale line,No rule triggered,0,No rule triggered,73,0,0,0,0,0,0,0,0,1919.14,0.0,0.0,0.0,1919.14,1238
536533,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,156.1,0.0,0.0,0.0,156.1,1311
536534,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,115.65,0.0,0.0,0.0,115.65,1317
536535,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,194.85,0.0,0.0,0.0,194.85,1322
536536,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,3,0,0,0,0,0,0,0,0,165.05,0.0,0.0,0.0,165.05,1334
536537,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,11,0,0,0,0,0,0,0,0,369.5,0.0,0.0,0.0,369.5,1337
536538,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,31,0,0,0,0,0,0,0,0,255.0,0.0,0.0,0.0,255.0,1348
536539,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,27,0,0,0,0,0,0,0,0,487.75,0.0,0.0,0.0,487.75,1379
536540,2010-12-01,2010-12,EIRE,Positive sale line,No rule triggered,0,No rule triggered,20,0,0,0,0,0,0,0,0,540.38,0.0,0.0,0.0,540.38,1406
536541,2010-12-01,2010-12,EIRE,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,15.0,0.0,0.0,0.0,15.0,1426
536542,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,16,0,0,0,0,0,0,0,0,787.4,0.0,0.0,0.0,787.4,1427
536544,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,527,527,527,527,0,0,0,0,0,5521.14,5521.14,0.0,5521.14,5521.14,1445
536545,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1972
536546,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1973
536547,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1974
536549,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1989
536550,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1990
536551,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,4,4,4,0,0,4,0,0,0,12.5,12.5,12.5,0.0,12.5,2004
536551,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,31,0,0,0,0,0,0,0,0,134.11,0.0,0.0,0.0,134.11,1991
536552,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2026
536553,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2027
536554,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,11,Review required,1,1,3,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2028
536555,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,2,2,2,2,0,0,0,0,0,2.97,2.97,0.0,2.97,2.97,2029
536556,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,8,0,0,0,0,0,0,0,0,101.55,0.0,0.0,0.0,101.55,2031
536557,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,4.95,4.95,4.95,0.0,4.95,2087
536557,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,64,0,0,0,0,0,0,0,0,532.43,0.0,0.0,0.0,532.43,2039
536558,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,1,1,1,1,0,0,0,0,0,99.75,99.75,0.0,99.75,99.75,2104
536559,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,1,1,1,0,0,1,0,0,0,10.2,10.2,10.2,0.0,10.2,2108
536559,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,8,0,0,0,0,0,0,0,0,204.95,0.0,0.0,0.0,204.95,2105
536560,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,13,0,0,0,0,0,0,0,0,799.4,0.0,0.0,0.0,799.4,2114
536561,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,15,0,0,0,0,0,0,0,0,322.4,0.0,0.0,0.0,322.4,2127
536562,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,18,0,0,0,0,0,0,0,0,308.65,0.0,0.0,0.0,308.65,2142
536563,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,9,0,0,0,0,0,0,0,0,172.54,0.0,0.0,0.0,172.54,2160
536564,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,51.4,0.0,0.0,0.0,51.4,2169
536565,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,2,2,2,2,0,0,0,0,0,6.7,6.7,0.0,6.7,6.7,2171
536566,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,116.25,0.0,0.0,0.0,116.25,2173
536567,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,7,0,0,0,0,0,0,0,0,251.4,0.0,0.0,0.0,251.4,2179
536568,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,5.04,0.0,0.0,0.0,5.04,2186
536569,2010-12-01,2010-12,United Kingdom,Positive sale line,Exact duplicate candidate,4,Review required,2,2,2,0,0,2,0,0,0,6.2,6.2,6.2,0.0,6.2,2197
536569,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,65,0,0,0,0,0,0,0,0,351.75,0.0,0.0,0.0,351.75,2187
536570,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,304.34,0.0,0.0,0.0,304.34,2254
536571,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,18,0,0,0,0,0,0,0,0,294.62,0.0,0.0,0.0,294.62,2259
536572,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,21,0,0,0,0,0,0,0,0,442.35,0.0,0.0,0.0,442.35,2277
536573,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,4,0,0,0,0,0,0,0,0,143.12,0.0,0.0,0.0,143.12,2298
536574,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,17.85,0.0,0.0,0.0,17.85,2302
536575,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,8,0,0,0,0,0,0,0,0,1552.98,0.0,0.0,0.0,1552.98,2303
536576,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,16,0,0,0,0,0,0,0,0,2558.42,0.0,0.0,0.0,2558.42,2311
536577,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,4,0,0,0,0,0,0,0,0,497.0,0.0,0.0,0.0,497.0,2327
536578,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,8,0,0,0,0,0,0,0,0,279.6,0.0,0.0,0.0,279.6,2331
536579,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,315.96,0.0,0.0,0.0,315.96,2339
536580,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,97.2,0.0,0.0,0.0,97.2,2341
536581,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,330.0,0.0,0.0,0.0,330.0,2347
536582,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,17,0,0,0,0,0,0,0,0,304.04,0.0,0.0,0.0,304.04,2348
536583,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,198.0,0.0,0.0,0.0,198.0,2365
536584,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,1132.8,0.0,0.0,0.0,1132.8,2366
536585,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,19.9,0.0,0.0,0.0,19.9,2367
536586,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,7,0,0,0,0,0,0,0,0,344.2,0.0,0.0,0.0,344.2,2368
536587,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,22,0,0,0,0,0,0,0,0,311.81,0.0,0.0,0.0,311.81,2375
536588,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,11,0,0,0,0,0,0,0,0,277.05,0.0,0.0,0.0,277.05,2397
536589,2010-12-01,2010-12,United Kingdom,Adjustment / non-sale,Description missing,43,Review required,1,1,4,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,2408
536590,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,14,0,0,0,0,0,0,0,0,205.86,0.0,0.0,0.0,205.86,2409
536591,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,40,0,0,0,0,0,0,0,0,198.32,0.0,0.0,0.0,198.32,2423
536592,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,592,592,592,592,0,0,0,0,0,6915.65,6915.65,0.0,6915.65,6915.65,2463
536593,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,81.75,0.0,0.0,0.0,81.75,3055
536594,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,5,0,0,0,0,0,0,0,0,79.5,0.0,0.0,0.0,79.5,3060
536595,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,11,0,0,0,0,0,0,0,0,349.15,0.0,0.0,0.0,349.15,3065
536596,2010-12-01,2010-12,United Kingdom,Positive sale line,Customer ID missing,1,Review required,6,6,6,6,0,0,0,0,0,38.09,38.09,0.0,38.09,38.09,3076
536597,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,28,0,0,0,0,0,0,0,0,102.79,0.0,0.0,0.0,102.79,3082
536598,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,4,0,0,0,0,0,0,0,0,160.6,0.0,0.0,0.0,160.6,3110
536599,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,6,0,0,0,0,0,0,0,0,306.4,0.0,0.0,0.0,306.4,3114
536600,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,251.62,0.0,0.0,0.0,251.62,3120
536601,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,3132
536602,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,163.76,0.0,0.0,0.0,163.76,3134
536603,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,3146
536604,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,9,0,0,0,0,0,0,0,0,184.5,0.0,0.0,0.0,184.5,3148
536605,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,15,0,0,0,0,0,0,0,0,272.65,0.0,0.0,0.0,272.65,3157
536607,2010-12-02,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,18,0,0,0,0,0,0,0,0,303.97,0.0,0.0,0.0,303.97,3173
